"source","stocklong","reference","year","n","n_units","catch","notes"
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1922,134000,"ram",75.8,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1923,133000,"ram",83.2,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1924,133000,"ram",53.5,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1925,133000,"ram",66.2,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1926,133000,"ram",101,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1927,133000,"ram",83.6,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1928,133000,"ram",96.3,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1929,133000,"ram",94.9,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1930,133000,"ram",122,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1931,133000,"ram",110,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1932,133000,"ram",111,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1933,133000,"ram",96.2,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1934,133000,"ram",102,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1935,133000,"ram",110,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1936,133000,"ram",124,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1937,133000,"ram",119,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1938,133000,"ram",97.2,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1939,133000,"ram",89,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1940,133000,"ram",167,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1941,133000,"ram",191,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1942,133000,"ram",243,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1943,133000,"ram",820,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1944,132000,"ram",1530,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1945,131000,"ram",2520,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1946,128000,"ram",1740,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1947,127000,"ram",990,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1948,127000,"ram",719,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1949,126000,"ram",614,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1950,126000,"ram",660,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1951,125000,"ram",778,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1952,124000,"ram",771,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1953,123000,"ram",656,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1954,121000,"ram",675,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1955,119000,"ram",709,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1956,117000,"ram",914,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1957,115000,"ram",1160,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1958,114000,"ram",1050,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1959,113000,"ram",1030,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1960,112000,"ram",1290,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1961,112000,"ram",1100,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1962,112000,"ram",1240,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1963,112000,"ram",615,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1964,114000,"ram",982,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1965,115000,"ram",373,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1966,117000,"ram",4770,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1967,115000,"ram",5680,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1968,113000,"ram",2700,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1969,114000,"ram",840,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1970,120000,"ram",687,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1971,125000,"ram",861,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1972,132000,"ram",612,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1973,140000,"ram",941,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1974,148000,"ram",691,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1975,157000,"ram",951,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1976,164000,"ram",1540,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1977,168000,"ram",2500,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1978,169000,"ram",1330,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1979,169000,"ram",8160,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1980,163000,"ram",24100,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1981,141000,"ram",29100,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1982,116000,"ram",27700,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1983,96700,"ram",12100,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1984,95200,"ram",11900,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1985,94600,"ram",10700,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1986,95200,"ram",11200,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1987,94800,"ram",15100,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1988,88900,"ram",12200,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1989,84100,"ram",14600,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1990,75700,"ram",11900,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1991,69300,"ram",7660,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1992,66600,"ram",7370,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1993,64300,"ram",9710,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1994,59600,"ram",7700,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1995,57000,"ram",7980,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1996,54200,"ram",7310,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1997,51900,"ram",7760,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1998,48900,"ram",4850,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",1999,48300,"ram",4770,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",2000,47600,"ram",4660,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",2001,46800,"ram",2260,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",2002,48700,"ram",432,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",2003,52400,"ram",43,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",2004,56700,"ram",101,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",2005,60300,"ram",199,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",2006,63200,"ram",215,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",2007,65300,"ram",259,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",2008,66600,"ram",237,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",2009,67400,"ram",195,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",2010,67900,"ram",152,NA
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","RAM",2011,68200,"ram",NA,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",1950,998000,"ram",1200,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",1951,1010000,"ram",1360,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",1952,1020000,"ram",2790,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",1953,1030000,"ram",3600,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",1954,1030000,"ram",3410,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",1955,1040000,"ram",4300,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",1956,1040000,"ram",6600,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",1957,1050000,"ram",23700,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",1958,1040000,"ram",40600,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",1959,1030000,"ram",57800,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",1960,1010000,"ram",68500,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",1961,992000,"ram",58800,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",1962,988000,"ram",57500,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",1963,988000,"ram",64600,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",1964,983000,"ram",68900,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",1965,978000,"ram",67700,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",1966,981000,"ram",58700,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",1967,990000,"ram",60200,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",1968,996000,"ram",84300,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",1969,977000,"ram",94600,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",1970,955000,"ram",74500,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",1971,957000,"ram",74500,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",1972,958000,"ram",94600,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",1973,942000,"ram",95100,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",1974,931000,"ram",107000,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",1975,913000,"ram",125000,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",1976,883000,"ram",125000,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",1977,861000,"ram",131000,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",1978,837000,"ram",134000,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",1979,816000,"ram",128000,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",1980,805000,"ram",131000,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",1981,793000,"ram",156000,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",1982,760000,"ram",165000,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",1983,723000,"ram",166000,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",1984,690000,"ram",114000,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",1985,709000,"ram",157000,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",1986,686000,"ram",147000,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",1987,675000,"ram",145000,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",1988,665000,"ram",136000,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",1989,666000,"ram",162000,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",1990,641000,"ram",194000,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",1991,587000,"ram",167000,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",1992,560000,"ram",164000,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",1993,536000,"ram",163000,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",1994,513000,"ram",173000,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",1995,479000,"ram",153000,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",1996,461000,"ram",153000,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",1997,442000,"ram",137000,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",1998,437000,"ram",149000,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",1999,421000,"ram",140000,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",2000,410000,"ram",136000,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",2001,401000,"ram",165000,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",2002,361000,"ram",140000,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",2003,340000,"ram",126000,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",2004,332000,"ram",120000,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",2005,329000,"ram",107000,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",2006,336000,"ram",107000,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",2007,347000,"ram",99600,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",2008,367000,"ram",110000,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",2009,382000,"ram",116000,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",2010,393000,"ram",108000,NA
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","RAM",2011,410000,"ram",NA,NA
"Hilborn et al. (2017)","Yellowtail rockfish Northern Pacific Coast","RAM",1967,105000,"ram",2730,NA
"Hilborn et al. (2017)","Yellowtail rockfish Northern Pacific Coast","RAM",1968,106000,"ram",2870,NA
"Hilborn et al. (2017)","Yellowtail rockfish Northern Pacific Coast","RAM",1969,104000,"ram",2930,NA
"Hilborn et al. (2017)","Yellowtail rockfish Northern Pacific Coast","RAM",1970,102000,"ram",1840,NA
"Hilborn et al. (2017)","Yellowtail rockfish Northern Pacific Coast","RAM",1971,102000,"ram",1250,NA
"Hilborn et al. (2017)","Yellowtail rockfish Northern Pacific Coast","RAM",1972,104000,"ram",2150,NA
"Hilborn et al. (2017)","Yellowtail rockfish Northern Pacific Coast","RAM",1973,106000,"ram",2040,NA
"Hilborn et al. (2017)","Yellowtail rockfish Northern Pacific Coast","RAM",1974,106000,"ram",1420,NA
"Hilborn et al. (2017)","Yellowtail rockfish Northern Pacific Coast","RAM",1975,106000,"ram",1260,NA
"Hilborn et al. (2017)","Yellowtail rockfish Northern Pacific Coast","RAM",1976,105000,"ram",4060,NA
"Hilborn et al. (2017)","Yellowtail rockfish Northern Pacific Coast","RAM",1977,103000,"ram",5130,NA
"Hilborn et al. (2017)","Yellowtail rockfish Northern Pacific Coast","RAM",1978,106000,"ram",8650,NA
"Hilborn et al. (2017)","Yellowtail rockfish Northern Pacific Coast","RAM",1979,105000,"ram",9410,NA
"Hilborn et al. (2017)","Yellowtail rockfish Northern Pacific Coast","RAM",1980,101000,"ram",8850,NA
"Hilborn et al. (2017)","Yellowtail rockfish Northern Pacific Coast","RAM",1981,102000,"ram",9350,NA
"Hilborn et al. (2017)","Yellowtail rockfish Northern Pacific Coast","RAM",1982,99800,"ram",9780,NA
"Hilborn et al. (2017)","Yellowtail rockfish Northern Pacific Coast","RAM",1983,94500,"ram",9270,NA
"Hilborn et al. (2017)","Yellowtail rockfish Northern Pacific Coast","RAM",1984,90500,"ram",5640,NA
"Hilborn et al. (2017)","Yellowtail rockfish Northern Pacific Coast","RAM",1985,92700,"ram",4210,NA
"Hilborn et al. (2017)","Yellowtail rockfish Northern Pacific Coast","RAM",1986,93100,"ram",6040,NA
"Hilborn et al. (2017)","Yellowtail rockfish Northern Pacific Coast","RAM",1987,96500,"ram",5930,NA
"Hilborn et al. (2017)","Yellowtail rockfish Northern Pacific Coast","RAM",1988,97300,"ram",7620,NA
"Hilborn et al. (2017)","Yellowtail rockfish Northern Pacific Coast","RAM",1989,95500,"ram",6350,NA
"Hilborn et al. (2017)","Yellowtail rockfish Northern Pacific Coast","RAM",1990,94500,"ram",5270,NA
"Hilborn et al. (2017)","Yellowtail rockfish Northern Pacific Coast","RAM",1991,101000,"ram",5020,NA
"Hilborn et al. (2017)","Yellowtail rockfish Northern Pacific Coast","RAM",1992,94200,"ram",8190,NA
"Hilborn et al. (2017)","Yellowtail rockfish Northern Pacific Coast","RAM",1993,90500,"ram",7190,NA
"Hilborn et al. (2017)","Yellowtail rockfish Northern Pacific Coast","RAM",1994,92800,"ram",7450,NA
"Hilborn et al. (2017)","Yellowtail rockfish Northern Pacific Coast","RAM",1995,92300,"ram",6300,NA
"Hilborn et al. (2017)","Yellowtail rockfish Northern Pacific Coast","RAM",1996,88300,"ram",7720,NA
"Hilborn et al. (2017)","Yellowtail rockfish Northern Pacific Coast","RAM",1997,83300,"ram",2710,NA
"Hilborn et al. (2017)","Yellowtail rockfish Northern Pacific Coast","RAM",1998,77500,"ram",3740,NA
"Hilborn et al. (2017)","Yellowtail rockfish Northern Pacific Coast","RAM",1999,72600,"ram",4490,NA
"Hilborn et al. (2017)","Yellowtail rockfish Northern Pacific Coast","RAM",2000,73000,"ram",4910,NA
"Hilborn et al. (2017)","Yellowtail rockfish Northern Pacific Coast","RAM",2001,71400,"ram",3150,NA
"Hilborn et al. (2017)","Yellowtail rockfish Northern Pacific Coast","RAM",2002,62000,"ram",2270,NA
"Hilborn et al. (2017)","Yellowtail rockfish Northern Pacific Coast","RAM",2003,58000,"ram",1450,NA
"Hilborn et al. (2017)","Yellowtail rockfish Northern Pacific Coast","RAM",2004,72200,"ram",1610,NA
"Hilborn et al. (2017)","Yellowtail rockfish Northern Pacific Coast","RAM",2005,74200,"ram",1610,NA
"Free et al. (in prep)","Arctic skua Foula (occupied territory)","JNCC Data",2006,79,"occupied territory",NA,NA
"Free et al. (in prep)","Arctic skua Foula (occupied territory)","JNCC Data",2007,71,"occupied territory",NA,NA
"Free et al. (in prep)","Arctic skua Foula (occupied territory)","JNCC Data",2008,41,"occupied territory",NA,NA
"Free et al. (in prep)","Arctic skua Foula (occupied territory)","JNCC Data",2009,63,"occupied territory",NA,NA
"Free et al. (in prep)","Arctic tern Foula (occupied territory)","JNCC Data",1969,262,"occupied territory",NA,NA
"Free et al. (in prep)","Arctic tern Foula (occupied territory)","JNCC Data",1970,500,"occupied territory",NA,NA
"Free et al. (in prep)","Arctic tern Foula (occupied territory)","JNCC Data",1971,916,"occupied territory",NA,NA
"Free et al. (in prep)","Arctic tern Foula (occupied territory)","JNCC Data",1972,1000,"occupied territory",NA,NA
"Free et al. (in prep)","Arctic tern Foula (occupied territory)","JNCC Data",1973,750,"occupied territory",NA,NA
"Free et al. (in prep)","Arctic tern Foula (occupied territory)","JNCC Data",1974,1700,"occupied territory",NA,NA
"Free et al. (in prep)","Arctic tern Foula (occupied territory)","JNCC Data",1975,6000,"occupied territory",NA,NA
"Free et al. (in prep)","Arctic tern Foula (occupied territory)","JNCC Data",1976,5650,"occupied territory",NA,NA
"Free et al. (in prep)","Arctic tern Foula (occupied territory)","JNCC Data",1977,3000,"occupied territory",NA,NA
"Free et al. (in prep)","Arctic tern Foula (occupied territory)","JNCC Data",1978,2000,"occupied territory",NA,NA
"Free et al. (in prep)","Arctic tern Foula (occupied territory)","JNCC Data",1979,4450,"occupied territory",NA,NA
"Free et al. (in prep)","Arctic tern Foula (occupied territory)","JNCC Data",1980,4200,"occupied territory",NA,NA
"Free et al. (in prep)","Arctic tern Foula (occupied territory)","JNCC Data",1981,1900,"occupied territory",NA,NA
"Free et al. (in prep)","Arctic tern Foula (occupied territory)","JNCC Data",1982,1259,"occupied territory",NA,NA
"Free et al. (in prep)","Arctic tern Foula (occupied territory)","JNCC Data",1983,1150,"occupied territory",NA,NA
"Free et al. (in prep)","Arctic tern Foula (occupied territory)","JNCC Data",1984,274,"occupied territory",NA,NA
"Free et al. (in prep)","Arctic tern Foula (occupied territory)","JNCC Data",1986,643,"occupied territory",NA,NA
"Free et al. (in prep)","Arctic tern Foula (occupied territory)","JNCC Data",1987,300,"occupied territory",NA,NA
"Free et al. (in prep)","Arctic tern Foula (occupied territory)","JNCC Data",1988,300,"occupied territory",NA,NA
"Free et al. (in prep)","Arctic tern Foula (occupied territory)","JNCC Data",1989,300,"occupied territory",NA,NA
"Free et al. (in prep)","Arctic tern Foula (occupied territory)","JNCC Data",1990,115,"occupied territory",NA,NA
"Free et al. (in prep)","Arctic tern Foula (occupied territory)","JNCC Data",1991,1010,"occupied territory",NA,NA
"Free et al. (in prep)","Arctic tern Foula (occupied territory)","JNCC Data",1992,1500,"occupied territory",NA,NA
"Free et al. (in prep)","Arctic tern Foula (occupied territory)","JNCC Data",1993,1500,"occupied territory",NA,NA
"Free et al. (in prep)","Arctic tern Foula (occupied territory)","JNCC Data",1994,1000,"occupied territory",NA,NA
"Free et al. (in prep)","Arctic tern Foula (occupied territory)","JNCC Data",1995,1000,"occupied territory",NA,NA
"Free et al. (in prep)","Arctic tern Foula (occupied territory)","JNCC Data",1996,505,"occupied territory",NA,NA
"Free et al. (in prep)","Arctic tern Foula (occupied territory)","JNCC Data",1997,1000,"occupied territory",NA,NA
"Free et al. (in prep)","Arctic tern Foula (occupied territory)","JNCC Data",1998,750,"occupied territory",NA,NA
"Free et al. (in prep)","Arctic tern Foula (occupied territory)","JNCC Data",1999,750,"occupied territory",NA,NA
"Free et al. (in prep)","Arctic tern Foula (occupied territory)","JNCC Data",2000,952,"occupied territory",NA,NA
"Free et al. (in prep)","Arctic tern Foula (occupied territory)","JNCC Data",2001,800,"occupied territory",NA,NA
"Free et al. (in prep)","Arctic tern Foula (occupied territory)","JNCC Data",2002,400,"occupied territory",NA,NA
"Free et al. (in prep)","Arctic tern Foula (occupied territory)","JNCC Data",2003,50,"occupied territory",NA,NA
"Free et al. (in prep)","Arctic tern Foula (occupied territory)","JNCC Data",2004,0,"occupied territory",NA,NA
"Free et al. (in prep)","Arctic tern Foula (occupied territory)","JNCC Data",2005,107,"occupied territory",NA,NA
"Free et al. (in prep)","Arctic tern Foula (occupied territory)","JNCC Data",2006,79,"occupied territory",NA,NA
"Free et al. (in prep)","Arctic tern Foula (occupied territory)","JNCC Data",2007,95,"occupied territory",NA,NA
"Free et al. (in prep)","Atlantic puffin Hernyken Island (number of occupied burrows)","Anker-Nilssen and Aarvak 2006 Tabell 3.1",1983,79680,"number of occupied burrows",NA,NA
"Free et al. (in prep)","Atlantic puffin Hernyken Island (number of occupied burrows)","Anker-Nilssen and Aarvak 2006 Tabell 3.1",1984,68920,"number of occupied burrows",NA,NA
"Free et al. (in prep)","Atlantic puffin Hernyken Island (number of occupied burrows)","Anker-Nilssen and Aarvak 2006 Tabell 3.1",1985,60560,"number of occupied burrows",NA,NA
"Free et al. (in prep)","Atlantic puffin Hernyken Island (number of occupied burrows)","Anker-Nilssen and Aarvak 2006 Tabell 3.1",1986,53640,"number of occupied burrows",NA,NA
"Free et al. (in prep)","Atlantic puffin Hernyken Island (number of occupied burrows)","Anker-Nilssen and Aarvak 2006 Tabell 3.1",1987,44240,"number of occupied burrows",NA,NA
"Free et al. (in prep)","Atlantic puffin Hernyken Island (number of occupied burrows)","Anker-Nilssen and Aarvak 2006 Tabell 3.1",1988,43160,"number of occupied burrows",NA,NA
"Free et al. (in prep)","Atlantic puffin Hernyken Island (number of occupied burrows)","Anker-Nilssen and Aarvak 2006 Tabell 3.1",1989,45760,"number of occupied burrows",NA,NA
"Free et al. (in prep)","Atlantic puffin Hernyken Island (number of occupied burrows)","Anker-Nilssen and Aarvak 2006 Tabell 3.1",1990,55040,"number of occupied burrows",NA,NA
"Free et al. (in prep)","Atlantic puffin Hernyken Island (number of occupied burrows)","Anker-Nilssen and Aarvak 2006 Tabell 3.1",1991,50120,"number of occupied burrows",NA,NA
"Free et al. (in prep)","Atlantic puffin Hernyken Island (number of occupied burrows)","Anker-Nilssen and Aarvak 2006 Tabell 3.1",1992,52360,"number of occupied burrows",NA,NA
"Free et al. (in prep)","Atlantic puffin Hernyken Island (number of occupied burrows)","Anker-Nilssen and Aarvak 2006 Tabell 3.1",1993,45760,"number of occupied burrows",NA,NA
"Free et al. (in prep)","Atlantic puffin Hernyken Island (number of occupied burrows)","Anker-Nilssen and Aarvak 2006 Tabell 3.1",1994,46560,"number of occupied burrows",NA,NA
"Free et al. (in prep)","Atlantic puffin Hernyken Island (number of occupied burrows)","Anker-Nilssen and Aarvak 2006 Tabell 3.1",1995,46680,"number of occupied burrows",NA,NA
"Free et al. (in prep)","Atlantic puffin Hernyken Island (number of occupied burrows)","Anker-Nilssen and Aarvak 2006 Tabell 3.1",1996,41840,"number of occupied burrows",NA,NA
"Free et al. (in prep)","Atlantic puffin Hernyken Island (number of occupied burrows)","Anker-Nilssen and Aarvak 2006 Tabell 3.1",1997,52480,"number of occupied burrows",NA,NA
"Free et al. (in prep)","Atlantic puffin Hernyken Island (number of occupied burrows)","Anker-Nilssen and Aarvak 2006 Tabell 3.1",1998,43040,"number of occupied burrows",NA,NA
"Free et al. (in prep)","Atlantic puffin Hernyken Island (number of occupied burrows)","Anker-Nilssen and Aarvak 2006 Tabell 3.1",1999,41880,"number of occupied burrows",NA,NA
"Free et al. (in prep)","Atlantic puffin Hernyken Island (number of occupied burrows)","Anker-Nilssen and Aarvak 2006 Tabell 3.1",2000,41520,"number of occupied burrows",NA,NA
"Free et al. (in prep)","Atlantic puffin Hernyken Island (number of occupied burrows)","Anker-Nilssen and Aarvak 2006 Tabell 3.1",2001,37520,"number of occupied burrows",NA,NA
"Free et al. (in prep)","Atlantic puffin Hernyken Island (number of occupied burrows)","Anker-Nilssen and Aarvak 2006 Tabell 3.1",2002,31880,"number of occupied burrows",NA,NA
"Free et al. (in prep)","Atlantic puffin Hernyken Island (number of occupied burrows)","Anker-Nilssen and Aarvak 2006 Tabell 3.1",2003,33840,"number of occupied burrows",NA,NA
